매장명,위도,경도,주소
평촌로데오,37.3929425,126.9607148,경기도 안양시 동안구 관평로 182 (관양동)
평촌역사거리,37.395786,126.9645,경기도 안양시 동안구 시민대로 311 금강스마트 빌딩 1층(관양동1746)
안양비산DT,37.3925328,126.942869,경기도 안양시 동안구 경수대로 821 (비산동)
평촌아크로,37.39227643,126.9565229,"경기도 안양시 동안구 시민대로 230, 평촌아크로타워상가동 2층 8호 (관양동)"
범계로데오,37.391494,126.955122,경기도 안양시 동안구 평촌대로 223 (호계동)
인덕원역,37.400269,126.976145,"경기도 안양시 동안구 흥안대로 519, 아이퍼스트타워 1~2층 (관양동)"
안양덕현DT,37.3713017997558,126.960219576803,경기도 안양시 동안구 흥안대로 139 (호계동)
안양이마트,37.398521,126.935224,경기도 안양시 동안구 관악대로 104 (비산동)
안양역R,37.401964,126.922661,경기도 안양시 만안구 만안로 232 (안양동) 안양민자역사 1층 001호
명학역,37.383837,126.935145,"경기도 안양시 만안구 안양로 96 128,129,130,132,133,134,135,136호"
안양역,37.4002845,126.92216770000004,경기도 안양시 만안구 장내로 149번길 (안양동)53
안양석수DT,37.4312614,126.9033382,경기도 안양시 만안구 경수대로 1397 (석수동)
안양일번가,37.39919046,126.9236856,경기도 안양시 만안구 안양로292번길 36 (안양동)
양주옥정타운,37.81858,127.094293,경기도 양주시 회천남로 76 (옥정동)
양주송추DT,37.717529,126.973093,경기도 양주시 장흥면 호국로 528 
양주덕정역DT,37.8382562,127.062968,경기도 양주시 독바위로 35 (덕정동)
양주고읍DT,37.803684,127.079474,경기도 양주시 고덕로351 (고읍동)
양주광사DT,37.790532,127.072421,경기도 양주시 부흥로 1872 (광사동)
양주고읍,37.794628,127.079196,경기도 양주시 고읍남로 20 (광사동)
양주옥정공원,37.8212389157803,127.097494414027,경기도 양주시 옥정동로7길 30 (옥정동)
양주회정DT,37.8394993554251,127.05474819186,경기도 양주시 평화로 1687 (회정동)
북오산IC DT,37.189945,127.05955,경기도 오산시 문시로 109-2 (외삼미동)
오산세교,37.176779,127.045583,경기도 오산시 수청로 193 (금암동)
오산갈곶DT,37.129351,127.071583,"경기도 오산시 경기대로 50, B동 (갈곶동)"
오산IC DT,37.1426829,127.0766272,경기도 오산시 원동로 74 (원동)
오산시청,37.1486248,127.0741288,경기도 오산시 운천로 61
오산원동DT,37.1441810626901,127.073876453349,경기도 오산시 경기대로 218 (원동)
서동탄DT,37.1972907115869,127.06503867729,경기도 오산시 외삼미로 162-48 (외삼미동)
오산수청DT,37.16321,127.06699,경기도 오산시 경기대로 445 (수청동)
용인세브란스병원,37.270835,127.147337,경기도 용인시 기흥구 동백죽전대로 363 (중동)
용인상하DT,37.259778,127.142453,경기도 용인시 기흥구 중부대로 771 (상하동)
용인언남,37.2924613,127.1219565,경기도 용인시 기흥구 구성로 120 (언남동)
기흥역AK R,37.2746544,127.1165616,"경기도 용인시 기흥구 기흥역로 63 (구갈동, 기흥역 힐스테이트)"
용인고매동,37.22317532265088,127.1141622136813,경기도 용인시 기흥구 신고매로 59 (고매동) 리빙파워센터 지하1층
용인보라DT,37.255575,127.104577,경기도 용인시 기흥구 용구대로 1877 (보라동)
용인동백DT,37.274595,127.141221,경기도 용인시 기흥구 어정로 102 (상하동)
용인마북DT,37.2947324,127.11029259999998,경기도 용인시 기흥구 용구대로 2330
용인기흥구청,37.2808075,127.1108768,경기도 용인시 기흥구 구갈로 71-18 (신갈동)
수원IC DT,37.267257,127.074502,경기도 용인시 기흥구 중부대로 56
용인보정,37.320017,127.11084,"경기도 용인시 기흥구 죽전로 20, 죽전누리에뜰상가 (보정동)"
구성트레이더스,37.305434,127.105468,경기도 용인시 기흥구 용구대로 2457 (보정동)
강남대,37.2710542,127.1259993,"경기도 용인시 기흥구 강남로 3, 강남&플러스 1층(구갈동)"
용인흥덕DT,37.2749915056802,127.071496028375,경기도 용인시 기흥구 흥덕1로 85 (영덕동)
기흥테라타워,37.231425985432,127.071894127547,"경기도 용인시 기흥구 서천로201번길 11 (농서동) 125, 126, 127, 128호"
용인보정DT,37.3217129,127.1044776,경기도 용인시 기흥구 용구대로2469번길 165 (보정동)
한국민속촌DT,37.255933,127.116911,경기도 용인시 기흥구 사은로 110 (보라동)
동백이마트,37.2781451,127.1514253,경기도 용인시 기흥구 동백죽전대로 444 (중동)
용인김량장DT,37.239832,127.2104973,경기도 용인시 처인구 백옥대로 1174 (김량장동)
용인에버랜드,37.294803,127.203274,경기도 용인시 처인구 포곡읍 에버랜드로 199 
용인시청DT,37.24029,127.170935,경기도 용인시 처인구 중부대로 1130
용인처인구청,37.234764,127.202928,경기도 용인시 처인구 금령로 60 (김량장동)
용인한숲시티,37.152464,127.173575,경기도 용인시 처인구 남사읍 처인성로 729 
용인마평DT,37.2336627,127.2168107,경기도 용인시 처인구 금령로 188 (마평동)
용인역북,37.232254,127.188747,경기도 용인시 처인구 명지로 41 (역북동)
용인모현DT,37.349187,127.249321,경기도 용인시 처인구 모현읍 백옥대로 2529 
의왕청계DT,37.388672,126.998446,경기도 의왕시 안양판교로 246 (청계동)
의왕포일,37.396242,126.983977,경기도 의왕시 안양판교로 89 (포일동)
의왕내손,37.389318,126.976944,경기도 의왕시 내손중앙로 4 (내손동)  벨포레스퀘어 G111~116호
의왕롯데몰,37.37585,127.00885,"경기도 의왕시 바라산로 1 (학의동), GF층 일부"
의왕삼동DT,37.316653,126.957363,경기도 의왕시 덕영대로 182 (삼동)
의정부예술의전당DT,37.7329,127.03881,경기도 의정부시 경의로 31 (의정부동)
